id,key,value,type
97762225,highway,turning_circle,regular
97762864,highway,turning_circle,regular
97764433,highway,traffic_signals,regular
97764453,highway,traffic_signals,regular
97764529,highway,traffic_signals,regular
97769896,highway,turning_circle,regular
97775682,highway,turning_circle,regular
97787493,highway,turning_circle,regular
97788941,highway,turning_circle,regular
97793510,highway,turning_circle,regular
97796163,highway,traffic_signals,regular
97799950,highway,turning_circle,regular
97801972,highway,turning_circle,regular
97802631,highway,turning_circle,regular
97805912,highway,turning_circle,regular
97806328,highway,turning_circle,regular
97828980,highway,turning_circle,regular
97835993,railway,level_crossing,regular
97837523,highway,turning_circle,regular
97838102,highway,turning_circle,regular
97842964,highway,turning_circle,regular
97844130,highway,turning_circle,regular
97855321,highway,turning_circle,regular
97858572,highway,turning_circle,regular
97859440,highway,turning_circle,regular
97859721,highway,turning_circle,regular
97868988,highway,turning_circle,regular
97871153,access,permissive,regular
97871153,barrier,gate,regular
97875185,highway,turning_circle,regular
97879838,highway,traffic_signals,regular
97879854,highway,traffic_signals,regular
97880258,highway,turning_circle,regular
97881129,highway,turning_circle,regular
97882488,highway,turning_circle,regular
97888393,highway,turning_circle,regular
97895587,highway,turning_circle,regular
97896302,highway,turning_circle,regular
97904913,highway,traffic_signals,regular
97904957,highway,traffic_signals,regular
97906230,highway,turning_circle,regular
97909851,highway,turning_circle,regular
97910814,highway,turning_circle,regular
97910987,highway,turning_circle,regular
97917760,highway,turning_circle,regular
97926303,highway,turning_circle,regular
97928747,highway,turning_circle,regular
97929211,highway,turning_circle,regular
97929234,highway,turning_circle,regular
97931963,highway,turning_circle,regular
97935274,highway,turning_circle,regular
97936294,highway,turning_circle,regular
97936387,highway,traffic_signals,regular
97938068,highway,turning_circle,regular
97938637,railway,level_crossing,regular
97946515,highway,turning_circle,regular
97950445,highway,turning_circle,regular
97954537,highway,turning_circle,regular
97955352,highway,turning_circle,regular
97956387,highway,turning_circle,regular
97957272,highway,turning_circle,regular
97957491,highway,turning_circle,regular
97960710,highway,turning_circle,regular
97962227,highway,turning_circle,regular
97967757,highway,turning_circle,regular
97968422,railway,level_crossing,regular
97979144,highway,turning_circle,regular
97985628,highway,turning_circle,regular
97989297,highway,turning_circle,regular
97990530,highway,turning_circle,regular
97992904,highway,turning_circle,regular
97992951,highway,turning_circle,regular
97996181,highway,turning_circle,regular
98000499,highway,turning_circle,regular
98000885,highway,turning_circle,regular
98000906,highway,turning_circle,regular
98004874,highway,turning_circle,regular
98006500,highway,turning_circle,regular
98008813,highway,turning_circle,regular
98008827,highway,turning_circle,regular
99753127,highway,turning_circle,regular
99754072,power,tower,regular
99754076,power,tower,regular
99754078,power,tower,regular
99757467,highway,turning_circle,regular
99759130,highway,traffic_signals,regular
99760953,highway,turning_circle,regular
99763810,highway,turning_circle,regular
99764001,highway,turning_circle,regular
99764003,highway,turning_circle,regular
99764122,junction,roundabout,regular
99764122,source,Bing,regular
99764386,highway,turning_circle,regular
99764634,highway,turning_circle,regular
99764709,highway,turning_circle,regular
99764813,railway,level_crossing,regular
99764916,railway,level_crossing,regular
99765088,power,tower,regular
99765093,power,tower,regular
99765102,power,tower,regular
99765105,power,tower,regular
99765861,highway,turning_circle,regular
99765867,highway,turning_circle,regular
99768027,highway,traffic_signals,regular
99770310,highway,turning_circle,regular
99772736,highway,turning_circle,regular
99776595,access,private,regular
99776595,barrier,gate,regular
99776595,foot,yes,regular
99776595,motor_vehicle,private,regular
99776626,highway,traffic_signals,regular
99779114,railway,level_crossing,regular
99779197,power,tower,regular
99779199,power,tower,regular
99779201,power,tower,regular
99779203,power,tower,regular
99779205,power,tower,regular
99779208,power,tower,regular
99779218,power,tower,regular
99779220,power,tower,regular
99779225,power,tower,regular
99779229,power,tower,regular
99780022,barrier,gate,regular
99781000,highway,turning_circle,regular
99781051,highway,turning_circle,regular
99784013,highway,turning_circle,regular
99785001,highway,turning_circle,regular
99785001,name,Woodridge Court,regular
99785688,power,tower,regular
99788409,highway,turning_circle,regular
99788421,reviewed,yes,tiger
99790115,highway,turning_circle,regular
99790865,highway,traffic_signals,regular
99791840,highway,turning_circle,regular
99792165,highway,turning_circle,regular
99792660,highway,turning_circle,regular
99792667,highway,turning_circle,regular
99793059,highway,turning_circle,regular
99794875,highway,turning_circle,regular
99795165,highway,turning_circle,regular
99797422,railway,level_crossing,regular
99797466,highway,turning_circle,regular
99798197,highway,turning_circle,regular
99799389,highway,turning_circle,regular
99800341,highway,turning_circle,regular
99800599,highway,turning_circle,regular
99801274,highway,traffic_signals,regular
99801275,highway,turning_circle,regular
99802077,highway,traffic_signals,regular
99802079,highway,traffic_signals,regular
99803223,highway,turning_circle,regular
99803428,highway,turning_circle,regular
99803440,highway,turning_circle,regular
99804372,highway,turning_circle,regular
99804457,highway,turning_circle,regular
99804463,highway,turning_circle,regular
99805297,highway,traffic_signals,regular
99805535,highway,turning_circle,regular
99806017,highway,turning_circle,regular
99806155,highway,turning_circle,regular
99807013,highway,turning_circle,regular
99807527,highway,turning_circle,regular
99807532,highway,turning_circle,regular
99807532,source,bing,regular
99807534,highway,turning_circle,regular
99807534,source,bing,regular
99807541,highway,turning_circle,regular
99807541,source,bing,regular
99807543,highway,turning_circle,regular
99807543,source,bing,regular
99807665,highway,turning_circle,regular
99807714,reviewed,yes,tiger
99807716,reviewed,yes,tiger
99807718,reviewed,yes,tiger
99807720,reviewed,yes,tiger
99807722,reviewed,yes,tiger
99807724,highway,turning_circle,regular
99808335,highway,turning_circle,regular
99809182,highway,turning_circle,regular
99809747,highway,turning_circle,regular
99810561,highway,traffic_signals,regular
99810589,highway,traffic_signals,regular
99810623,highway,traffic_signals,regular
99810629,highway,traffic_signals,regular
99810645,highway,traffic_signals,regular
99810677,highway,traffic_signals,regular
99811348,highway,turning_circle,regular
99811550,highway,turning_circle,regular
99811944,highway,traffic_signals,regular
99812681,highway,traffic_signals,regular
99812709,highway,traffic_signals,regular
99813629,highway,turning_circle,regular
99816678,highway,turning_circle,regular
99816711,highway,traffic_signals,regular
99817707,highway,turning_circle,regular
99817718,highway,turning_circle,regular
99818214,highway,turning_circle,regular
99818403,highway,turning_circle,regular
99819357,highway,turning_circle,regular
99819395,highway,turning_circle,regular
99819816,highway,turning_circle,regular
99820365,highway,turning_circle,regular
99821220,highway,turning_circle,regular
99821483,highway,turning_circle,regular
99821787,highway,turning_circle,regular
99822270,highway,turning_loop,regular
99822346,highway,traffic_signals,regular
99822367,highway,turning_circle,regular
99822447,highway,turning_circle,regular
99822454,highway,turning_circle,regular
99823376,highway,turning_circle,regular
99823786,highway,turning_circle,regular
99824409,railway,level_crossing,regular
99824559,highway,turning_circle,regular
99824564,highway,turning_circle,regular
99824905,highway,turning_circle,regular
